userId,name,username,password,reportsTo,annualLeaneN,medicalLeaveN,compleaveN
185,Alexis Bull,185_Alexis,ABULL,108,14,60,0
186,Julia Dellinger,186_Julia,JDELLING,108,14,60,0
187,Anthony Cabrio,187_Anthony,ACABRIO,108,14,60,0
188,Kelly Chung,188_Kelly,KCHUNG,108,14,60,0
189,Jennifer Dilly,189_Jennifer,JDILLY,108,14,60,0
190,Timothy Gates,190_Timothy,TGATES,108,14,60,0
191,Randall Perkins,191_Randall,RPERKINS,109,14,60,0
192,Sarah Bell,192_Sarah,SBELL,109,14,60,0
193,Britney Everett,193_Britney,BEVERETT,109,14,60,0
194,Samuel McCain,194_Samuel,SMCCAIN,109,14,60,0
195,Vance Jones,195_Vance,VJONES,109,14,60,0
196,Alana Walsh,196_Alana,AWALSH,109,14,60,0
197,Kevin Feeney,197_Kevin,KFEENEY,109,14,60,0
198,Donald OConnell,198_Donald,DOCONNEL,109,14,60,0
199,Douglas Grant,199_Douglas,DGRANT,109,14,60,0
200,Jennifer,200_Jennifer,JWHALEN,109,14,60,0
